FULL_DESCRIPTION,SPORTS_ID,EVENT_ID,SETTLED_DATE,SCHEDULED_OFF,EVENT,DT ACTUAL_OFF,SELECTION_ID,SELECTION,ODDS,NUMBER_BETS,VOLUME_MATCHED,LATEST_TAKEN,FIRST_TAKEN,WIN_FLAG,IN_PLAY
Costa Rican Soccer/Costa Rican Primera Division/Fixtures 07 September/AD UCR v AD Santos de Guapiles,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507
Costa Rican Soccer/Costa Rican Primera Division/Fixtures 07 September/AD UCR v AD Santos de Guapiles/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Costa Rican Soccer/Costa Rican Primera Division/Fixtures 07 September/CS Uruguay de Coronado v Limon FC,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464
Costa Rican Soccer/Costa Rican Primera Division/Fixtures 07 September/CS Uruguay de Coronado v Limon FC/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Croatian Soccer/Croatian Division 2/Fixtures 05 September/Hrvatski Dragovoljac v NK Imotski,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Croatian Soccer/Croatian Division 2/Fixtures 05 September/Hrvatski Dragovoljac v NK Imotski/Asian Handicap,12,12,0,12,0,12,12,12,12,12,12,12,12,12,12
Croatian Soccer/Croatian Division 2/Fixtures 05 September/Inter Zapresic v Radnik Sesvete,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Croatian Soccer/Croatian Division 2/Fixtures 07 September/Rudes v Lucko,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Croatian Soccer/International Friendly/Fixtures 04 September/Croatia v Cyprus/Asian Handicap,89,89,0,89,0,89,89,89,89,89,89,89,89,89,89
Croatian Soccer/International Friendly/Fixtures 04 September/Croatia v Cyprus/Croatia Total Goals,15,15,0,15,0,15,15,15,15,15,15,15,15,15,15
Croatian Soccer/International Friendly/Fixtures 04 September/Croatia v Cyprus/Cyprus Total Goals,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6
Croatian Soccer/International Friendly/Fixtures 04 September/Croatia v Cyprus/Total Goals,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Cypriot Soccer/Euro U21 Championship Qualifiers/Fixtures 05 September/Cyprus U21 v Belgium U21/Asian Handicap,34,34,0,34,0,34,34,34,34,34,34,34,34,34,34
Cypriot Soccer/Euro U21 Championship Qualifiers/Fixtures 05 September/Cyprus U21 v Belgium U21/Total Goals,16,16,0,16,0,16,16,16,16,16,16,16,16,16,16
Czech Soccer/Czech 3. Liga/Fixtures 03 September/Bohemians Prague v Kraluv Dvur,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856
Czech Soccer/Czech 3. Liga/Fixtures 03 September/Chomutov v Admira Prague,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598
Czech Soccer/Czech 3. Liga/Fixtures 03 September/FK Lounovice v Loko Vltavin,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
Czech Soccer/Czech 3. Liga/Fixtures 03 September/FK Lounovice v Loko Vltavin/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Czech Soccer/Czech 3. Liga/Fixtures 03 September/Meteor Prague v SK Viktorie Jirny,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678
Czech Soccer/Czech 3. Liga/Fixtures 03 September/Pisek v Jiskra Domazlice,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336
Czech Soccer/Czech 3. Liga/Fixtures 03 September/Union 2013 v Zenit Caslav,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276
Czech Soccer/Czech 3. Liga/Fixtures 03 September/Vysehrad v TJ Sokol Zapy,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
Czech Soccer/Czech 3. Liga/Fixtures 03 September/Vysehrad v TJ Sokol Zapy/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Czech Soccer/Czech 3. Liga/Fixtures 05 September/Kromeriz v FK Slavia Orlova-Lutyne,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
Czech Soccer/Czech 3. Liga/Fixtures 06 September/Loko Vltavin v FK TJ Stechovice,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632
Czech Soccer/Czech 3. Liga/Fixtures 06 September/MFK Chrudim v Vysehrad,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561
Czech Soccer/Czech 3. Liga/Fixtures 06 September/MFK Chrudim v Vysehrad/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Czech Soccer/Czech 3. Liga/Fixtures 06 September/Prostejov v 1. FC Slovacko II,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
Czech Soccer/Czech 3. Liga/Fixtures 07 September/Meteor Prague v FK Lounovice,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642
Czech Soccer/Czech 3. Liga/Fixtures 07 September/TJ Sokol Zapy v Zenit Caslav,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
Czech Soccer/Czech 3. Liga/Fixtures 07 September/Unicov v Zlin II,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953
Czech Soccer/Czech 3. Liga/Fixtures 07 September/Union 2013 v Pisek,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
Czech Soccer/Czech Republic Cup/Fixtures 02 September/FC Velke Mezirici v Sigma Olomouc,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644
Czech Soccer/Czech Republic Cup/Fixtures 02 September/FC Velke Mezirici v Sigma Olomouc/Asian Handicap,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Czech Soccer/Czech Republic Cup/Fixtures 02 September/FC Velke Mezirici v Sigma Olomouc/Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Czech Soccer/Czech Republic Cup/Fixtures 05 September/Opava v MFK Karvina,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609
Czech Soccer/Czech Republic Cup/Fixtures 05 September/Opava v MFK Karvina/Asian Handicap,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
Czech Soccer/Czech Republic Cup/Fixtures 05 September/Usti nad Labem v Slovan Liberec,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191
Czech Soccer/Czech Republic Cup/Fixtures 05 September/Usti nad Labem v Slovan Liberec/Asian Handicap,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Czech Soccer/Czech Republic Cup/Fixtures 05 September/Usti nad Labem v Slovan Liberec/Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Czech Soccer/Czech Republic Cup/Fixtures 05 September/Vlasim v Pribram,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
Czech Soccer/Czech Republic Cup/Fixtures 05 September/Vlasim v Pribram/Asian Handicap,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10
Czech Soccer/Czech Republic Cup/Fixtures 05 September/Vlasim v Pribram/Total Goals,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Bohemians 1905 v Ceske Budejovice,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Bohemians 1905 v Ceske Budejovice/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Bohemians 1905 v Ceske Budejovice/Total Goals,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Bohemians Prague v Teplice,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Bohemians Prague v Teplice/Asian Handicap,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Bohemians Prague v Teplice/Total Goals,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Sigma Olomouc v Trinec,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Sigma Olomouc v Trinec/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Sigma Olomouc v Trinec/Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Zlin v Slovacko,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
Czech Soccer/Czech Republic Cup/Fixtures 06 September/Zlin v Slovacko/Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Czech Soccer/Czech Republic Cup/Fixtures 07 September/Frydek Mistek v Banik Ostrava,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
Czech Soccer/Czech Republic Cup/Fixtures 07 September/Zivanice v Sparta Prague,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269
Czech Soccer/Czech U19 League/Fixtures 06 September/Ceske Budejovice U19 v Bohemians 1905 U19,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Czech Soccer/Czech U19 League/Fixtures 06 September/FC Banik Ostrava U19 v FC Vysocina Jihlava U19,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
Czech Soccer/Czech U19 League/Fixtures 06 September/FC Banik Ostrava U19 v FC Vysocina Jihlava U19/Asian Handicap,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6
Czech Soccer/Czech U19 League/Fixtures 06 September/FK Jablonec U19 v FK Teplice U19,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
Czech Soccer/Czech U19 League/Fixtures 06 September/FK Pardubice U19 v FC Hlucin U19,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442
Czech Soccer/Czech U19 League/Fixtures 06 September/Plzen U19 v FC Slovan Liberec U19,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424
Czech Soccer/Czech U19 League/Fixtures 06 September/SFC Opava U19 v FC Zbrojovka Brno U19,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
Czech Soccer/Czech U19 League/Fixtures 06 September/SK Sigma Olomouc U19 v AC Sparta Praha U19,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Czech Soccer/Czech U19 League/Fixtures 06 September/SK Slavia Praha U19 v FK Mlada Boleslav U19,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543
Czech Soccer/Czech U19 League/Fixtures 06 September/SK Slavia Praha U19 v FK Mlada Boleslav U19/Asian Handicap,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Czech Soccer/Czech U21 League/Fixtures 01 September/AC Sparta Praha U21 v FK Fotbal Trinec U21,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839
Czech Soccer/Czech U21 League/Fixtures 01 September/AC Sparta Praha U21 v FK Fotbal Trinec U21/Total Goals,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Czech Soccer/Czech U21 League/Fixtures 01 September/FC Banik Ostrava U21 v SK Slavia Praha U21,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947
Czech Soccer/Czech U21 League/Fixtures 01 September/FC Banik Ostrava U21 v SK Slavia Praha U21/Asian Handicap,18,18,0,18,0,18,18,18,18,18,18,18,18,18,18
Czech Soccer/Czech U21 League/Fixtures 01 September/FC Banik Ostrava U21 v SK Slavia Praha U21/Total Goals,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Czech Soccer/Czech U21 League/Fixtures 01 September/FC Vysocina Jihlava U21 v FC Viktoria Plzen U21,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
Czech Soccer/Czech U21 League/Fixtures 01 September/FC Vysocina Jihlava U21 v FC Viktoria Plzen U21/Total Goals,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Czech Soccer/Czech U21 League/Fixtures 01 September/FC Zbrojovka Brno U21 v Ceske Budejovice U21,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064
Czech Soccer/Czech U21 League/Fixtures 01 September/FC Zbrojovka Brno U21 v Ceske Budejovice U21/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Czech Soccer/Czech U21 League/Fixtures 01 September/FC Zbrojovka Brno U21 v Ceske Budejovice U21/Total Goals,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Dukla Praha U21 v FK Mlada Boleslav U21,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Dukla Praha U21 v FK Mlada Boleslav U21/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Dukla Praha U21 v FK Mlada Boleslav U21/Total Goals,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Jablonec U21 v FC Hradec Kralove U21,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Jablonec U21 v FC Hradec Kralove U21/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Jablonec U21 v FC Hradec Kralove U21/Total Goals,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Teplice U21 v Bohemians 1905 U21,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Teplice U21 v Bohemians 1905 U21/Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Varnsdorf U21 v FC Slovan Liberec U21,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Varnsdorf U21 v FC Slovan Liberec U21/Asian Handicap,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Czech Soccer/Czech U21 League/Fixtures 01 September/FK Varnsdorf U21 v FC Slovan Liberec U21/Total Goals,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Czech Soccer/Czech U21 League/Fixtures 07 September/FK Fotbal Trinec U21 v Bohemians 1905 U21,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544
Czech Soccer/Czech U21 League/Fixtures 07 September/FK Fotbal Trinec U21 v Bohemians 1905 U21/Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Czech Soccer/Gambrinus Liga/Fixtures 02 September/Teplice v Ceske Budejovice,2122,2122,2122,2122,2122,2122,2122,2122,2122,2122,2122,2122,2122,2122,2122
Czech Soccer/Gambrinus Liga/Fixtures 02 September/Teplice v Ceske Budejovice/Asian Handicap,20,20,0,20,0,20,20,20,20,20,20,20,20,20,20
Czech Soccer/Gambrinus Liga/Fixtures 02 September/Teplice v Ceske Budejovice/Total Goals,35,35,0,35,0,35,35,35,35,35,35,35,35,35,35
Czech Soccer/International Friendly/Fixtures 03 September/Czech Republic v USA/Asian Handicap,64,64,0,64,0,64,64,64,64,64,64,64,64,64,64
Czech Soccer/International Friendly/Fixtures 03 September/Czech Republic v USA/Czech Republic Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Czech Soccer/International Friendly/Fixtures 03 September/Czech Republic v USA/Total Goals,21,21,0,21,0,21,21,21,21,21,21,21,21,21,21
Czech Soccer/International Friendly/Fixtures 03 September/Czech Republic v USA/USA Total Goals,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
Danish Soccer/Danish Division 1/Fixtures 04 September/Vejle v Vendsyssel FF,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621
Danish Soccer/Danish Division 1/Fixtures 04 September/Vejle v Vendsyssel FF/Asian Handicap,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10
Danish Soccer/Danish Division 1/Fixtures 04 September/Vejle v Vendsyssel FF/Total Goals,34,34,0,34,0,34,34,34,34,34,34,34,34,34,34
Danish Soccer/Danish Division 1/Fixtures 05 September/HB Koge v Bronshoj,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659
Danish Soccer/Danish Division 1/Fixtures 05 September/HB Koge v Bronshoj/Asian Handicap,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6
Danish Soccer/Danish Division 1/Fixtures 05 September/HB Koge v Bronshoj/Total Goals,18,18,0,18,0,18,18,18,18,18,18,18,18,18,18
Danish Soccer/Danish Division 1/Fixtures 05 September/Skive v AB,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404
Danish Soccer/Danish Division 1/Fixtures 05 September/Skive v AB/Asian Handicap,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Danish Soccer/Danish Division 1/Fixtures 05 September/Skive v AB/Total Goals,15,15,0,15,0,15,15,15,15,15,15,15,15,15,15
Danish Soccer/Danish Division 1/Fixtures 05 September/Viborg v Fredericia/Asian Handicap,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
Danish Soccer/Danish Division 1/Fixtures 05 September/Viborg v Fredericia/Total Goals,16,16,0,16,0,16,16,16,16,16,16,16,16,16,16
Danish Soccer/Danish Division 1/Fixtures 07 September / Viborg v Fredericia,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686
Danish Soccer/Danish Reserve League/Fixtures 01 September/Lyngby (Res) v FC Copenhagen (Res),1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370
Danish Soccer/Danish Reserve League/Fixtures 01 September/Lyngby (Res) v FC Copenhagen (Res)/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Danish Soccer/Danish Reserve League/Fixtures 01 September/Lyngby (Res) v FC Copenhagen (Res)/Total Goals,15,15,0,15,0,15,15,15,15,15,15,15,15,15,15
Danish Soccer/Danish Reserve League/Fixtures 01 September/Randers (Res) v Viborg (Res),1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628
Danish Soccer/Danish Reserve League/Fixtures 01 September/Randers (Res) v Viborg (Res)/Asian Handicap,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
Danish Soccer/Danish Reserve League/Fixtures 01 September/Randers (Res) v Viborg (Res)/Total Goals,30,30,0,30,0,30,30,30,30,30,30,30,30,30,30
Danish Soccer/Danish Reserve League/Fixtures 01 September/Vejle BK (Res) v Silkeborg (Res),1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271
Danish Soccer/Danish Reserve League/Fixtures 01 September/Vejle BK (Res) v Silkeborg (Res)/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Danish Soccer/Danish Reserve League/Fixtures 01 September/Vejle BK (Res) v Silkeborg (Res)/Total Goals,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Danish Soccer/Danish Reserve League/Fixtures 02 September/AGF (Res) v Hobro IK (Res),1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414
Danish Soccer/Danish Reserve League/Fixtures 02 September/AGF (Res) v Hobro IK (Res)/Total Goals,27,27,0,27,0,27,27,27,27,27,27,27,27,27,27
Danish Soccer/Danish Reserve League/Fixtures 02 September/FC Nordsj (Res) v FC Vestsjaelland (Res),1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454
Danish Soccer/Danish Reserve League/Fixtures 02 September/FC Nordsj (Res) v FC Vestsjaelland (Res)/Asian Handicap,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6
Danish Soccer/Danish Reserve League/Fixtures 02 September/FC Nordsj (Res) v FC Vestsjaelland (Res)/Total Goals,16,16,0,16,0,16,16,16,16,16,16,16,16,16,16
Danish Soccer/Danish Reserve League/Fixtures 03 September/Odense (Res) v SonderjyskE (Res),1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210
Danish Soccer/Danish Reserve League/Fixtures 03 September/Odense (Res) v SonderjyskE (Res)/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Danish Soccer/Danish Reserve League/Fixtures 03 September/Odense (Res) v SonderjyskE (Res)/Total Goals,20,20,0,20,0,20,20,20,20,20,20,20,20,20,20
Danish Soccer/Danish Superliga/Fixtures 01 September/Hobro v FC Vestsjaelland,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229
Danish Soccer/Danish Superliga/Fixtures 01 September/Hobro v FC Vestsjaelland/Asian Handicap,19,19,0,19,0,19,19,19,19,19,19,19,19,19,19
Danish Soccer/Danish Superliga/Fixtures 01 September/Hobro v FC Vestsjaelland/Hobro Total Goals,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6
Danish Soccer/Danish Superliga/Fixtures 01 September/Hobro v FC Vestsjaelland/Total Goals,34,34,0,34,0,34,34,34,34,34,34,34,34,34,34
Danish Soccer/Division 2 East/Fixtures 06 September/B 1908 v B93,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163
Danish Soccer/Division 2 East/Fixtures 06 September/B 1908 v B93/Asian Handicap,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Danish Soccer/Division 2 East/Fixtures 06 September/BSV v Frem,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
Danish Soccer/Division 2 East/Fixtures 06 September/HIK v Fremad Amager,831,831,831,831,831,831,831,831,831,831,831,831,831,831,831
Danish Soccer/Division 2 East/Fixtures 06 September/Herlev v Hvidovre,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529
Danish Soccer/Division 2 East/Fixtures 07 September/Avarta v Avedore,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Danish Soccer/Division 2 East/Fixtures 07 September/Avarta v Avedore/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Danish Soccer/Division 2 East/Fixtures 07 September/FC Helsingor v GVI,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618
Danish Soccer/Division 2 East/Fixtures 07 September/FC Helsingor v GVI/Asian Handicap,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Danish Soccer/Division 2 East/Fixtures 07 September/Holbaek v Rishoj,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985
Danish Soccer/Division 2 East/Fixtures 07 September/Holbaek v Rishoj/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Danish Soccer/Division 2 West/Fixtures 06 September/Brabrand v Kjellerup,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
Danish Soccer/Division 2 West/Fixtures 06 September/Naesby v Naestved,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468
Danish Soccer/Division 2 West/Fixtures 06 September/Odder v FC Sydvest,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901
Danish Soccer/Division 2 West/Fixtures 06 September/Skovbakken v Thisted,757,757,757,757,757,757,757,757,757,757,757,757,757,757,757
Danish Soccer/Division 2 West/Fixtures 06 September/Skovbakken v Thisted/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Danish Soccer/Division 2 West/Fixtures 07 September/FC Svendborg v Kolding IF,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432
Danish Soccer/Division 2 West/Fixtures 07 September/FC Svendborg v Kolding IF/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Danish Soccer/Division 2 West/Fixtures 07 September/Kolding Boldklub v Ringkobing,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Danish Soccer/Euro 2016 Qualifiers/Fixtures 07 September/Denmark v Armenia/Armenia Total Goals,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Danish Soccer/Euro 2016 Qualifiers/Fixtures 07 September/Denmark v Armenia/Asian Handicap,69,69,0,69,0,69,69,69,69,69,69,69,69,69,69
Danish Soccer/Euro 2016 Qualifiers/Fixtures 07 September/Denmark v Armenia/Denmark Total Goals,16,16,0,16,0,16,16,16,16,16,16,16,16,16,16
Danish Soccer/Euro 2016 Qualifiers/Fixtures 07 September/Denmark v Armenia/Total Goals,28,28,0,28,0,28,28,28,28,28,28,28,28,28,28
Danish Soccer/International Friendly/Fixtures 03 September/Denmark v Turkey/Asian Handicap,27,27,0,27,0,27,27,27,27,27,27,27,27,27,27
Danish Soccer/International Friendly/Fixtures 03 September/Denmark v Turkey/Denmark Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Danish Soccer/International Friendly/Fixtures 03 September/Denmark v Turkey/Total Goals,29,29,0,29,0,29,29,29,29,29,29,29,29,29,29
Dundee FC (youth) v Dundee Utd (Youth)/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Durham Women FC (W) v Reading FC (W)/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Almere City (youth) v Jong NEC Oss,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Almere City (youth) v Jong NEC Oss/Asian Handicap,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Brabant United (Youth) v Jong Sparta,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Brabant United (Youth) v Jong Sparta/Asian Handicap,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/J Feyenoord Excel v Jong Dordrecht,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/J Feyenoord Excel v Jong Dordrecht/Asian Handicap,11,11,0,11,0,11,11,11,11,11,11,11,11,11,11
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong AZ Alkmaar v Jong Heracles,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong AZ Alkmaar v Jong Heracles/Asian Handicap,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong Fortuna Sittard v Go Ahead Eagles (Youth),516,516,516,516,516,516,516,516,516,516,516,516,516,516,516
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong Fortuna Sittard v Go Ahead Eagles (Youth)/Asian Handicap,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong Graafschap v Jong Roda JC,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong Graafschap v Jong Roda JC/Asian Handicap,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong PEC Zwolle v Jong Groningen,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617
Dutch Soccer/Dutch Jong Eredivisie/Fixtures 01 September/Jong PEC Zwolle v Jong Groningen/Asian Handicap,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
