FULL_DESCRIPTION,SPORTS_ID,EVENT_ID,SETTLED_DATE,SCHEDULED_OFF,EVENT,DT ACTUAL_OFF,SELECTION_ID,SELECTION,ODDS,NUMBER_BETS,VOLUME_MATCHED,LATEST_TAKEN,FIRST_TAKEN,WIN_FLAG,IN_PLAY
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September/Tigre v Quilmes/Total Goals,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September / Tigre v Quilmes,2169,2169,2169,2169,2169,2169,2169,2169,2169,2169,2169,2169,2169,2169,2169
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Arsenal FC Total Goals,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Asian Handicap,25,25,0,25,0,25,25,25,25,25,25,25,25,25,25
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Total Goals,35,35,0,35,0,35,35,35,35,35,35,35,35,35,35
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata/Asian Handicap,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata/Total Goals,12,12,0,12,0,12,12,12,12,12,12,12,12,12,12
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano/Asian Handicap,22,22,0,22,0,22,22,22,22,22,22,22,22,22,22
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano/Total Goals,15,15,0,15,0,15,15,15,15,15,15,15,15,15,15
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells/Asian Handicap,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells/Newells Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells/Total Goals,24,24,0,24,0,24,24,24,24,24,24,24,24,24,24
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells/Velez Total Goals,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente/Asian Handicap,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente/Independiente Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente/Total Goals,16,16,0,16,0,16,16,16,16,16,16,16,16,16,16
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Godoy Cruz v Defensa y Justicia,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Godoy Cruz v Defensa y Justicia/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Godoy Cruz v Defensa y Justicia/Godoy Cruz Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Godoy Cruz v Defensa y Justicia/Total Goals,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus/Asian Handicap,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus/Lanus Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus/Racing Club Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/River Plate v Tigre,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo/Rosario Central Total Goals,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo/San Lorenzo Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo/Total Goals,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Argentinian Soccer/Argentinian Primera Division/Fixtures 31 August   /Lanus v Olimpo/Asian Handicap,18,18,0,18,0,18,18,18,18,18,18,18,18,18,18
Argentinian Soccer/Argentinian Primera Division/Fixtures 31 August   /Lanus v Olimpo/Lanus Total Goals,11,11,0,11,0,11,11,11,11,11,11,11,11,11,11
Argentinian Soccer/Argentinian Primera Division/Fixtures 31 August   /Lanus v Olimpo/Olimpo Total Goals,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Argentinian Soccer/Argentinian Primera Division/Fixtures 31 August   /Lanus v Olimpo/Total Goals,27,27,0,27,0,27,27,27,27,27,27,27,27,27,27
Armenian Soccer/Armenian First League/Fixtures 01 September/Shirak FC II v Gandzasar FC II,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813
Armenian Soccer/Armenian First League/Fixtures 02 September/FC Ararat Yerevan II v MIKA FC II,914,914,914,914,914,914,914,914,914,914,914,914,914,914,914
Armenian Soccer/Armenian First League/Fixtures 02 September/FC Ararat Yerevan II v MIKA FC II/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Arsenal (W) v Notts Co (W)/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Australia U19 v Japan U19/Asian Handicap,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Austria U19 v Switzerland U19/Total Goals,14,14,0,14,0,14,14,14,14,14,14,14,14,14,14
Azerbaijan Soccer/Azerbaijan I Divizion/Fixtures 06 September/Qaradag Lokbatan FK v FK Energetik Mingecevir,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
Azerbaijan Soccer/Azerbaijan I Divizion/Fixtures 07 September/Zira IK v FK MOIK Baku,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
Azerbaijan Soccer/Euro U21 Championship Qualifiers/Fixtures 03 September/Azerbaijan U21 v Israel U21/Asian Handicap,24,24,0,24,0,24,24,24,24,24,24,24,24,24,24
Azerbaijan Soccer/Euro U21 Championship Qualifiers/Fixtures 03 September/Azerbaijan U21 v Israel U21/Total Goals,13,13,0,13,0,13,13,13,13,13,13,13,13,13,13
Belarus U21 v Liechtenstein U21/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Belarus U21 v Liechtenstein U21/Belarus U21 Total Goals,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Belarus U21 v Liechtenstein U21/Liechtenstein U21 Total Goals,12,12,0,12,0,12,12,12,12,12,12,12,12,12,12
Belarus U21 v Liechtenstein U21/Total Goals,13,13,0,13,0,13,13,13,13,13,13,13,13,13,13
Belarusian Soccer/Belarusian 1st Division/Fixtures 06 September/FK Byaroza 2010 v Vitebsk,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Belarusian Soccer/Belarusian 1st Division/Fixtures 06 September/FK Zorka BDU Minsk v FC Smolevichi STI,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
Belgian Soccer/Belgian Second Division/Fixtures 02 September / Sint Truiden v Oud-Heverlee Leuven,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204
Belgian Soccer/Belgian Second Division/Fixtures 03 September / Woluwe-Zaventem v Dessel Sport,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Antwerp v RC Mechelen,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Antwerp v RC Mechelen/Asian Handicap,13,13,0,13,0,13,13,13,13,13,13,13,13,13,13
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Eupen v Eendracht Aalst,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Eupen v Eendracht Aalst/Asian Handicap,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Heist v Mons,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Patro Eisden v Seraing Utd,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Patro Eisden v Seraing Utd/Asian Handicap,18,18,0,18,0,18,18,18,18,18,18,18,18,18,18
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Roeselare v Excelsior Virton,757,757,757,757,757,757,757,757,757,757,757,757,757,757,757
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Roeselare v Excelsior Virton/Asian Handicap,13,13,0,13,0,13,13,13,13,13,13,13,13,13,13
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Sint Truiden v Oud-Heverlee Leuven/Asian Handicap,29,29,0,29,0,29,29,29,29,29,29,29,29,29,29
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Verbroedering Geel v Lommel Utd,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743
Belgian Soccer/Belgian Second Division/Fixtures 03 September/White Star Bruxelles v Tubize,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
Belgian Soccer/Belgian Second Division/Fixtures 03 September/White Star Bruxelles v Tubize/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Woluwe-Zaventem v Dessel Sport/Asian Handicap,19,19,0,19,0,19,19,19,19,19,19,19,19,19,19
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Dessel Sport v Antwerp,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Dessel Sport v Antwerp/Asian Handicap,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Excelsior Virton v Verbroedering Geel,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Excelsior Virton v Verbroedering Geel/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Lommel Utd v Woluwe-Zaventem,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Lommel Utd v Woluwe-Zaventem/Asian Handicap,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Mons v Roeselare,643,643,643,643,643,643,643,643,643,643,643,643,643,643,643
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Mons v Roeselare/Asian Handicap,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Oud-Heverlee Leuven v White Star Bruxelles,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Oud-Heverlee Leuven v White Star Bruxelles/Asian Handicap,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Belgian Soccer/Belgian Second Division/Fixtures 06 September/RC Mechelen v Eupen/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Seraing Utd v Heist,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Seraing Utd v Heist/Asian Handicap,14,14,0,14,0,14,14,14,14,14,14,14,14,14,14
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Tubize v Patro Eisden,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Tubize v Patro Eisden/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Belgian Soccer/Belgian Second Division/Fixtures 07 September / RC Mechelen v Eupen,825,825,825,825,825,825,825,825,825,825,825,825,825,825,825
Belgian Soccer/Belgian Second Division/Fixtures 07 September/Eendracht Aalst v Sint Truiden,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574
Belgian Soccer/Belgian Second Division/Fixtures 07 September/Eendracht Aalst v Sint Truiden/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Belgian Soccer/Beloften Pro League/Fixtures 01 September/Cercle Brugge (Y) v Zulte-Waregem (Y),296,296,296,296,296,296,296,296,296,296,296,296,296,296,296
Belgian Soccer/Beloften Pro League/Fixtures 01 September/Genk (Y) v KSC Lokeren (Y),254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
Belgian Soccer/Beloften Pro League/Fixtures 01 September/Gent (Y) v Standard Liege (Y),247,247,247,247,247,247,247,247,247,247,247,247,247,247,247
Belgian Soccer/Beloften Pro League/Fixtures 01 September/KV Kortrijk (Y) v Club Brugge (Y),208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
Belgian Soccer/Beloften Pro League/Fixtures 01 September/KV Oostende (Youth) v Waasland-Beveren (Y),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Belgian Soccer/Beloften Pro League/Fixtures 01 September/KVC Westerlo (Youth) v KV Mechelen (Y),270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
Belgian Soccer/Beloften Pro League/Fixtures 01 September/Lierse (Y) v Charleroi (Y),291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
Belgian Soccer/Beloften Pro League/Fixtures 03 September/Anderlecht (Y) v Genk (Y),401,401,401,401,401,401,401,401,401,401,401,401,401,401,401
Belgian Soccer/International Friendly/Fixtures 04 September/Belgium v Australia/Asian Handicap,67,67,0,67,0,67,67,67,67,67,67,67,67,67,67
Belgian Soccer/International Friendly/Fixtures 04 September/Belgium v Australia/Australia Total Goals,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
Belgian Soccer/International Friendly/Fixtures 04 September/Belgium v Australia/Belgium Total Goals,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Belgian Soccer/International Friendly/Fixtures 04 September/Belgium v Australia/Total Goals,19,19,0,19,0,19,19,19,19,19,19,19,19,19,19
Bolivian Soccer/Bolivian Liga Nacional A/Fixtures 01 September/Oriente Petrolero v Blooming,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606
Brazilian Soccer/Brazilian Cup/Fixtures 02 September/ABC v Vasco da Gama,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
Brazilian Soccer/Brazilian Cup/Fixtures 02 September/ABC v Vasco da Gama/Asian Handicap,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Brazilian Soccer/Brazilian Cup/Fixtures 02 September/ABC v Vasco da Gama/Total Goals,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Atletico PR v America RN,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Atletico PR v America RN/Asian Handicap,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Atletico PR v America RN/Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Santa Rita v Cruzeiro,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Santa Rita v Cruzeiro/Asian Handicap,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Santa Rita v Cruzeiro/Total Goals,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Ceara v Botafogo RJ,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Ceara v Botafogo RJ/Asian Handicap,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Ceara v Botafogo RJ/Total Goals,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Corinthians v Bragantino SP,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Corinthians v Bragantino SP/Asian Handicap,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Corinthians v Bragantino SP/Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Flamengo v Coritiba,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Flamengo v Coritiba/Asian Handicap,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Flamengo v Coritiba/Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Brazilian Soccer/Brazilian Cup/Fixtures 05 September/Atletico MG v Palmeiras,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139
Brazilian Soccer/Brazilian Cup/Fixtures 05 September/Atletico MG v Palmeiras/Asian Handicap,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
Brazilian Soccer/Brazilian Cup/Fixtures 05 September/Atletico MG v Palmeiras/Total Goals,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa/Asian Handicap,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa/Atletico GO Total Goals,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa/Boa Total Goals,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa/Total Goals,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Parana v Sampaio Correa,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Parana v Sampaio Correa/Asian Handicap,12,12,0,12,0,12,12,12,12,12,12,12,12,12,12
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Parana v Sampaio Correa/Total Goals,13,13,0,13,0,13,13,13,13,13,13,13,13,13,13
Brazilian Soccer/Brazilian Division 2/Fixtures 03 September/Portuguesa SP v Joinville,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963
Brazilian Soccer/Brazilian Division 2/Fixtures 03 September/Portuguesa SP v Joinville/Asian Handicap,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9
Brazilian Soccer/Brazilian Division 2/Fixtures 03 September/Portuguesa SP v Joinville/Joinville Total Goals,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
