FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Group C/England v India 2014/ODI Series/England v India/England Opening Partnership,4,218.26,0.0,371.042,,,
Group C/England v India 2014/ODI Series/England v India/India 10 Over Total,1372,66585.36,68421.139,72884.539,,,
Group C/England v India 2014/ODI Series/England v India/India Opening Partnership,31,2379.22,3034.6918,92.81119999999999,,,
Group C/England v India 2014/T20 Series/England v India (Only T20),68573,27668955.88,17074602.0272,29446511.9819,07-09-2014 14:11:47,,
Group C/England v India 2014/T20 Series/England v India/England 6 Over Total,376,9543.82,3218.8199999999997,16233.4968,,,
Group C/England v India 2014/T20 Series/England v India/England Innings Runs,4244,561052.96,1001980.182,62589.666,,,
Group C/England v India 2014/T20 Series/England v India/England Opening Partnership,7,150.62,200.4982,0.0,,,
Group C/England v India 2014/T20 Series/England v India/India 6 Over Total,509,19731.62,35074.258,4607.3274,,,
Group C/England v India 2014/T20 Series/England v India/India Opening Partnership,2,574.38,0.0,1435.95,,,
Group C/English Domestic/County Championship 2014/Division One/Fixtures 31 August/Durham v Nottinghamshire,2703,55405.98,61032.2452,68219.6722,03-09-2014 12:44:13,,
Group C/English Domestic/County Championship 2014/Division One/Fixtures 31 August/Lancashire v Yorkshire,1587,31134.66,34963.576,35556.1424,03-09-2014 14:44:36,,
Group C/English Domestic/County Championship 2014/Division One/Fixtures 31 August/Middlesex v Warwickshire,349,5319.5,5844.6684000000005,6691.589199999999,03-09-2014 15:56:03,,
Group C/English Domestic/County Championship 2014/Division One/Fixtures 31 August/Somerset v Northamptonshire,623,7677.42,7228.366000000001,11661.6334,03-09-2014 16:20:45,,
Group C/English Domestic/County Championship 2014/Division Two/Fixtures 31 August/Derbyshire v Worcestershire,1044,32983.74,23633.9872,36730.4254,03-09-2014 16:38:30,,
Group C/English Domestic/County Championship 2014/Division Two/Fixtures 31 August/Hampshire v Leicestershire,555,9129.88,8190.576,10628.0178,03-09-2014 14:26:29,,
Group C/English Domestic/County Championship 2014/Division Two/Fixtures 31 August/Kent v Glamorgan,490,10716.3,11851.5582,7363.6786,03-09-2014 15:57:17,,
Group C/English Domestic/Royal London One Day Cup 2014/Durham v Nottinghamshire,14032,3793738.95,4143138.8254,1485334.8739,06-09-2014 16:45:45,,
Group C/English Domestic/Royal London One Day Cup 2014/Durham v Nottinghamshire/Durham 10 Over Total,67,1109.34,1936.7264,157.4,,,
Group C/English Domestic/Royal London One Day Cup 2014/Durham v Nottinghamshire/Durham Innings Runs,1617,140959.3,239882.3096,14334.67,,,
Group C/English Domestic/Royal London One Day Cup 2014/Durham v Nottinghamshire/Nottinghamshire 10 Over Total,65,2200.74,243.9048,3705.9392000000003,,,
Group C/English Domestic/Royal London One Day Cup 2014/Warwickshire v Kent,13249,4240411.67,4937233.7358,848583.0432,04-09-2014 19:59:10,,
Group C/English Domestic/Royal London One Day Cup 2014/Warwickshire v Kent/Kent 10 Over Total,105,8777.1,9125.2588,8041.41,,,
Group C/English Domestic/Royal London One Day Cup 2014/Warwickshire v Kent/Kent Innings Runs,1621,114355.7,25986.4124,229538.0704,,,
Group C/English Domestic/Royal London One Day Cup 2014/Warwickshire v Kent/Warwickshire 10 Over Total,128,3958.06,290.8666,8742.9986,,,
