FULL_DESCRIPTION,SPORTS_ID,EVENT_ID,SETTLED_DATE,SCHEDULED_OFF,EVENT,DT ACTUAL_OFF,SELECTION_ID,SELECTION,ODDS,NUMBER_BETS,VOLUME_MATCHED,LATEST_TAKEN,FIRST_TAKEN,WIN_FLAG,IN_PLAY
Group A/Brasov Challenger 2014/First Round Matches/Rudnev v Sikora,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268
Group A/Brasov Challenger 2014/First Round Matches/Rufin v Cipolla,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
Group A/Brasov Challenger 2014/Quarter Final Matches/A Haider-Maurer v Luncanu,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
Group A/Brasov Challenger 2014/Quarter Final Matches/A Ungur v J Pospisil,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
Group A/Brasov Challenger 2014/Quarter Final Matches/Karatsev v Sikora,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
Group A/Brasov Challenger 2014/Quarter Final Matches/Rufin v Grigelis,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362
Group A/Brasov Challenger 2014/Second Round Matches/A Haider-Maurer v Reuter,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
Group A/Brasov Challenger 2014/Second Round Matches/A Ungur v Machado,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
Group A/Brasov Challenger 2014/Second Round Matches/Copil v Karatsev,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326
Group A/Brasov Challenger 2014/Second Round Matches/Fortuna v J Pospisil,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
Group A/Brasov Challenger 2014/Second Round Matches/G Melzer v Rufin,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539
Group A/Brasov Challenger 2014/Second Round Matches/Grigelis v R Marcora,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Group A/Brasov Challenger 2014/Second Round Matches/Luncanu v Buchanan,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348
Group A/Brasov Challenger 2014/Second Round Matches/Sikora v Bourgue,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
Group A/Brasov Challenger 2014/Semi Final Matches/A Haider-Maurer v J Pospisil,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475
Group A/Brasov Challenger 2014/Semi Final Matches/Karatsev v Rufin,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
Group A/Brasov Challenger 2014/The Final/A Haider-Maurer v Rufin,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227
Group A/Coupe Banque Nationale 2014/Qualifying Matches/B Pera v S Crawford,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Chirico v Chi Scholl,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Chirico v S Crawford,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268
Group A/Coupe Banque Nationale 2014/Qualifying Matches/El Tabakh v Molnar,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
Group A/Coupe Banque Nationale 2014/Qualifying Matches/El Tabakh v Muhammad,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Elie v Martincova,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Hibino v Broomfield,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Hibino v Marand,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Kinard v Marand,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Krejcikova v Lao,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Krejcikova v Mar Sanchez,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Melichar v C Zhao,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Patrascu v Muhammad,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
