FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
MLB 2014/Games 04 September/SEA @ TEX,444,13228.96,11210.3692,15185.0892,5/9/14 3:55,USA,"Arlington, Texas"
MLB 2014/Games 04 September/STL @ MIL,502,37540.4,16572.3584,57609.5598,5/9/14 3:53,USA,"Milwaukee, Wisconsin"
MLB 2014/Games 04 September/TOR @ TB,391,8030.66,8973.8058,7666.5934,5/9/14 2:06,USA,"St. Petersburg, Florida"
MLB 2014/Games 05 September/ARI @ LAD,284,11828.36,10545.3774,13791.2644,6/9/14 4:57,USA,"Los Angeles, California"
MLB 2014/Games 05 September/ATL @ MIA,140,4383.84,3982.608,5942.6628,6/9/14 2:01,USA,"Miami, Florida"
MLB 2014/Games 05 September/BAL @ TB,234,7873.8,10095.4556,5342.7648,6/9/14 2:21,USA,"St. Petersburg, Florida"
MLB 2014/Games 05 September/CWS @ CLE,194,3935.6,3321.855,4555.4348,6/9/14 2:22,USA,"Cleveland, Ohio"
MLB 2014/Games 05 September/HOU @ OAK,245,8096.62,2533.0784,11167.852,6/9/14 5:19,USA,"Oakland, California"
MLB 2014/Games 05 September/KC @ NYY,264,11521.84,9896.4296,12740.685,6/9/14 1:43,USA,"Bronx, New York"
MLB 2014/Games 05 September/LAA @ MIN,343,15928.82,15539.7974,13847.6482,6/9/14 4:46,USA,"Minneapolis, Minnesota"
MLB 2014/Games 05 September/NYM @ CIN,196,10126.42,6064.635,13986.0768,6/9/14 1:19,USA,"Cincinnati, Ohio"
MLB 2014/Games 05 September/PHI @ WSH,405,10323.38,7879.8404,11441.8712,6/9/14 3:45,USA,"Washington, D.C."
MLB 2014/Games 05 September/PIT @ CHC,428,12881.76,12108.1876,11141.5534,6/9/14 20:55,USA,"Chicago, Illinois"
MLB 2014/Games 05 September/SD @ COL,179,4881.36,5783.0238,3470.9746,6/9/14 3:17,USA,"Denver, Colorado"
MLB 2014/Games 05 September/SEA @ TEX,263,6310,7729.2142,4093.5218,6/9/14 3:39,USA,"Arlington, Texas"
MLB 2014/Games 05 September/SF @ DET,206,7062.9,4340.8318,8901.878,6/9/14 4:44,USA,"Detroit, Michigan"
MLB 2014/Games 05 September/STL @ MIL,397,17155.46,22965.848,10407.7184,6/9/14 3:23,USA,"Milwaukee, Wisconsin"
MLB 2014/Games 05 September/TOR @ BOS,285,10381.96,8696.5036,12309.8248,6/9/14 3:09,USA,"Boston, Massachusetts"
MLB 2014/Games 06 September/ARI @ LAD,252,4998.66,4892.4662,5353.7058,7/9/14 4:17,USA,"Los Angeles, California"
MLB 2014/Games 06 September/ATL @ MIA,287,9053.82,6844.0634,11757.9962,7/9/14 2:41,USA,"Miami, Florida"
MLB 2014/Games 06 September/BAL @ TB,190,6803.32,3878.3272,9970.565,6/9/14 20:18,USA,"St. Petersburg, Florida"
MLB 2014/Games 06 September/CWS @ CLE,195,9549.74,8853.414,10461.7778,7/9/14 1:54,USA,"Cleveland, Ohio"
MLB 2014/Games 06 September/HOU @ OAK,317,7465.66,6849.9716,8154.4984,6/9/14 22:54,USA,"Oakland, California"
MLB 2014/Games 06 September/KC @ NYY,286,8700,8499.7914,8438.01,6/9/14 23:01,USA,"Bronx, New York"
MLB 2014/Games 06 September/LAA @ MIN,206,13701.12,19379.8866,7551.2846,7/9/14 2:33,USA,"Minneapolis, Minnesota"
MLB 2014/Games 06 September/NYM @ CIN,142,2659.84,3111.8512,2037.4572,6/9/14 23:05,USA,"Cincinnati, Ohio"
MLB 2014/Games 06 September/PHI @ WSH,333,10046.84,2424.6564,15355.4986,6/9/14 22:42,USA,"Washington, D.C."
MLB 2014/Games 06 September/PIT @ CHC,200,5883.68,5850.9606,5989.0672,7/9/14 1:08,USA,"Chicago, Illinois"
MLB 2014/Games 06 September/SD @ COL,192,4339.38,4915.3052,3489.2386,7/9/14 5:08,USA,"Denver, Colorado"
MLB 2014/Games 06 September/SEA @ TEX,226,7045.88,10367.1718,3433.449,7/9/14 6:20,USA,"Arlington, Texas"
MLB 2014/Games 06 September/SF @ DET,343,20642.36,17556.8126,22313.2748,6/9/14 20:17,USA,"Detroit, Michigan"
MLB 2014/Games 06 September/STL @ MIL,316,7382.04,8737.0624,6005.3192,7/9/14 2:18,USA,"Milwaukee, Wisconsin"
MLB 2014/Games 06 September/TOR @ BOS,274,19645.33,12887.437,25896.1894,7/9/14 4:04,USA,"Boston, Massachusetts"
MLB 2014/Games 07 September/ARI @ LAD,220,8289.16,5313.1504,11597.858,7/9/14 23:25,USA,"Los Angeles, California"
MLB 2014/Games 07 September/ATL @ MIA,90,2318.24,1155.8726,3474.0238,7/9/14 20:13,USA,"Miami, Florida"
MLB 2014/Games 07 September/BAL @ TB,152,6370.22,8771.1242,3570.203,7/9/14 22:23,USA,"St. Petersburg, Florida"
MLB 2014/Games 07 September/CWS @ CLE,229,6627.88,5710.7262,8010.1632,7/9/14 19:53,USA,"Cleveland, Ohio"
MLB 2014/Games 07 September/HOU @ OAK,183,7223.72,7284.3924,7289.2498,7/9/14 23:26,USA,"Oakland, California"
MLB 2014/Games 07 September/KC @ NYY,202,3291.06,2427.7642,4209.2634,7/9/14 20:56,USA,"Bronx, New York"
MLB 2014/Games 07 September/LAA @ MIN,96,1640.54,1949.8308,1696.3084,7/9/14 21:46,USA,"Minneapolis, Minnesota"
MLB 2014/Games 07 September/NYM @ CIN,159,4692.66,3591.2272,6568.5712,7/9/14 20:48,USA,"Cincinnati, Ohio"
MLB 2014/Games 07 September/PHI @ WSH,248,11533.78,13479.6736,9255.3416,7/9/14 20:59,USA,"Washington, D.C."
MLB 2014/Games 07 September/PIT @ CHC,154,2570.69,2039.3317,3566.562,7/9/14 21:49,USA,"Chicago, Illinois"
MLB 2014/Games 07 September/SD @ COL,132,2083.34,1326.6488,2846.9556,7/9/14 23:19,USA,"Denver, Colorado"
MLB 2014/Games 07 September/SEA @ TEX,189,7455.91,7210.6035,8197.1012,7/9/14 21:53,USA,"Arlington, Texas"
MLB 2014/Games 07 September/STL @ MIL,137,1289.72,1883.4778,575.538,7/9/14 21:15,USA,"Milwaukee, Wisconsin"
MLB 2014/Games 07 September/TOR @ BOS,94,1428.26,1256.1152,1690.0802,7/9/14 20:24,USA,"Boston, Massachusetts"
MLB 2014/Games 31 August/CLE @ KC,39,465.98,276.9,347.9436,1/9/14 4:55,USA,"Kansas City, Missouri"
