FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September / Tigre v Quilmes,15186,342470.42,354263.7971,680886.459,2/9/14 2:21,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Arsenal FC Total Goals,27,380.46,0,1207.6116,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Asian Handicap,55,2593.48,2486.0124,2472.7814,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Total Goals,103,3363.8,666.2268,28006.5514,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata,9521,382838.5,378306.2983,568048.4068,6/9/14 19:53,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata/Asian Handicap,16,3758.24,6308.0462,880.2944,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata/Total Goals,38,1027.62,4.8,9464.9142,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano,14851,430506.43,379950.9414,783424.6438,6/9/14 23:05,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano/Asian Handicap,93,25993.28,45427.188,2768.6876,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano/Total Goals,83,2951.86,7093.8352,29584.3416,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells,21642,753627.25,718819.3012,1290555.539,6/9/14 21:55,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells/Asian Handicap,10,194.34,360.9292,33.0296,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells/Newells Total Goals,2,43.58,0,74.9576,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells/Total Goals,63,1380.7,0,38823.2536,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells/Velez Total Goals,12,83.94,0,726.0264,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente,12047,341218,364636.1698,516294.925,7/9/14 1:10,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente/Asian Handicap,22,1069.98,104.2416,2394.0918,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente/Independiente Total Goals,12,292.06,0,1138.417,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente/Total Goals,48,1256.7,117.48,17637.3104,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Godoy Cruz v Defensa y Justicia,7080,146716.19,158230.0544,200081.607,7/9/14 20:08,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Godoy Cruz v Defensa y Justicia/Asian Handicap,5,76.76,147.967,0,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Godoy Cruz v Defensa y Justicia/Godoy Cruz Total Goals,6,25.7,0,141.349,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Godoy Cruz v Defensa y Justicia/Total Goals,6,306.68,397.01,345.0672,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus,12530,473645.7,507192.6282,528969.81,7/9/14 22:12,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus/Asian Handicap,19,2019.64,514.6326,2725.159,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus/Lanus Total Goals,2,15.86,87.23,0,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus/Racing Club Total Goals,4,65.68,0,124.792,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/River Plate v Tigre,2961,96103.08,110068.4262,150608.4052,7/9/14 23:05,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo,11871,367765.99,387174.0742,546612.5,7/9/14 19:53,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo/Asian Handicap,3,100,260,0,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo/Rosario Central Total Goals,15,211.06,0,606.2316,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo/San Lorenzo Total Goals,2,50.76,0,282.7332,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Rosario Central v San Lorenzo/Total Goals,19,719.74,1153.271,2521.8738,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 31 August   /Lanus v Olimpo/Asian Handicap,43,15804.42,1791.9026,30718.499,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 31 August   /Lanus v Olimpo/Lanus Total Goals,24,114.64,0,353.968,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 31 August   /Lanus v Olimpo/Olimpo Total Goals,11,46.5,20.4078,467.666,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 31 August   /Lanus v Olimpo/Total Goals,75,1943.28,549.9796,33089.7768,,Argentina,Buenos Aires
Armenian Soccer/Armenian First League/Fixtures 01 September/Shirak FC II v Gandzasar FC II,4003,64221.4,67079.7092,56800.5246,1/9/14 14:48,Armenia,Yerevan
Armenian Soccer/Armenian First League/Fixtures 02 September/FC Ararat Yerevan II v MIKA FC II,5428,114665.5,120477.2663,100906.4988,2/9/14 14:48,Armenia,Yerevan
Armenian Soccer/Armenian First League/Fixtures 02 September/FC Ararat Yerevan II v MIKA FC II/Asian Handicap,2,71.34,0,111.2904,,Armenia,Yerevan
Arsenal (W) v Notts Co (W)/Asian Handicap,6,28.24,42.3344,0,,United Kingdom,Hertfordshire
Australia U19 v Japan U19/Asian Handicap,9,122.2,141.774,79.9136,,Vietnam,Hanoi
Austria U19 v Switzerland U19/Total Goals,44,2052.54,7868.9494,1551.5744,,Austria,Vienna
