FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Group B/BMW Championship 2014,149070,4712927.68,5190165.527,80884167.49,5/9/14 17:40,USA,"Cherry Hills Village, CO"
Group B/BMW Championship 2014/Tournament Matchbets,152,3633.26,6218.8034,595.5442,7/9/14 22:20,USA,"Cherry Hills Village, CO"
Group B/Chiquita Classic 2014,1321,6892.82,404.88,653088.084,7/9/14 20:11,USA,"Davidson, NC"
Group B/Deutsche Bank Championship 2014,166663,4672132.07,3546042.886,102746429.2,1/9/14 21:53,USA,"Norton, Massachusetts"
Group B/Deutsche Bank Championship 2014/Tournament Matchbets,415,10449.26,15697.5224,3782.3932,1/9/14 22:08,USA,"Norton, Massachusetts"
Group B/European Masters 2014,73740,1383381.85,1126411.751,35498517.25,7/9/14 14:47,Switzerland,Crans-Montana
Group B/European Masters 2014/Tournament Matchbets,144,4457.3,2953.3572,5306.9752,5/9/14 18:49,Switzerland,Crans-Montana
Group B/Portland Classic 2014,182,2130.24,1903.28,27702.5014,1/9/14 1:40,USA,"Portland, Oregon"
Group B/Quebec Championship 2014,165,1346.76,0,62835.56,7/9/14 21:13,Canada,"Levis, Quebec"
