FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
MLB 2014/Games 05 September/CWS @ CLE,194,3935.6,3321.855,4555.4348,06-09-2014 02:22:33,,
MLB 2014/Games 05 September/HOU @ OAK,245,8096.62,2533.0784,11167.851999999999,06-09-2014 05:19:15,,
MLB 2014/Games 05 September/KC @ NYY,264,11521.84,9896.4296,12740.685,06-09-2014 01:43:33,,
MLB 2014/Games 05 September/LAA @ MIN,343,15928.82,15539.7974,13847.6482,06-09-2014 04:46:03,,
MLB 2014/Games 05 September/NYM @ CIN,196,10126.42,6064.635,13986.076799999999,06-09-2014 01:19:35,,
MLB 2014/Games 05 September/PHI @ WSH,405,10323.38,7879.8404,11441.8712,06-09-2014 03:45:34,,
MLB 2014/Games 05 September/PIT @ CHC,428,12881.76,12108.1876,11141.5534,06-09-2014 20:55:03,,
MLB 2014/Games 05 September/SD @ COL,179,4881.36,5783.0238,3470.9746,06-09-2014 03:17:42,,
MLB 2014/Games 05 September/SEA @ TEX,263,6310.0,7729.2142,4093.5218,06-09-2014 03:39:14,,
MLB 2014/Games 05 September/SF @ DET,206,7062.9,4340.8318,8901.877999999999,06-09-2014 04:44:01,,
MLB 2014/Games 05 September/STL @ MIL,397,17155.46,22965.847999999998,10407.718400000002,06-09-2014 03:23:06,,
MLB 2014/Games 05 September/TOR @ BOS,285,10381.96,8696.5036,12309.8248,06-09-2014 03:09:04,,
MLB 2014/Games 06 September/ARI @ LAD,252,4998.66,4892.4662,5353.7058,07-09-2014 04:17:24,,
MLB 2014/Games 06 September/ATL @ MIA,287,9053.82,6844.063399999999,11757.9962,07-09-2014 02:41:48,,
MLB 2014/Games 06 September/BAL @ TB,190,6803.32,3878.3271999999997,9970.565,06-09-2014 20:18:49,,
MLB 2014/Games 06 September/CWS @ CLE,195,9549.74,8853.413999999999,10461.7778,07-09-2014 01:54:53,,
MLB 2014/Games 06 September/HOU @ OAK,317,7465.66,6849.9716,8154.4983999999995,06-09-2014 22:54:34,,
MLB 2014/Games 06 September/KC @ NYY,286,8700.0,8499.7914,8438.01,06-09-2014 23:01:13,,
MLB 2014/Games 06 September/LAA @ MIN,206,13701.12,19379.8866,7551.2846,07-09-2014 02:33:54,,
MLB 2014/Games 06 September/NYM @ CIN,142,2659.84,3111.8512,2037.4572,06-09-2014 23:05:13,,
MLB 2014/Games 06 September/PHI @ WSH,333,10046.84,2424.6564000000003,15355.4986,06-09-2014 22:42:54,,
MLB 2014/Games 06 September/PIT @ CHC,200,5883.68,5850.9606,5989.0672,07-09-2014 01:08:12,,
MLB 2014/Games 06 September/SD @ COL,192,4339.38,4915.3052,3489.2385999999997,07-09-2014 05:08:56,,
MLB 2014/Games 06 September/SEA @ TEX,226,7045.88,10367.1718,3433.449,07-09-2014 06:20:00,,
MLB 2014/Games 06 September/SF @ DET,343,20642.36,17556.8126,22313.2748,06-09-2014 20:17:43,,
MLB 2014/Games 06 September/STL @ MIL,316,7382.04,8737.0624,6005.3192,07-09-2014 02:18:33,,
MLB 2014/Games 06 September/TOR @ BOS,274,19645.329999999998,12887.437,25896.1894,07-09-2014 04:04:28,,
MLB 2014/Games 07 September/ARI @ LAD,220,8289.16,5313.1504,11597.858,07-09-2014 23:25:42,,
MLB 2014/Games 07 September/ATL @ MIA,90,2318.24,1155.8726,3474.0238000000004,07-09-2014 20:13:49,,
MLB 2014/Games 07 September/BAL @ TB,152,6370.22,8771.1242,3570.203,07-09-2014 22:23:22,,
MLB 2014/Games 07 September/CWS @ CLE,229,6627.88,5710.726199999999,8010.1632,07-09-2014 19:53:44,,
MLB 2014/Games 07 September/HOU @ OAK,183,7223.719999999999,7284.392400000001,7289.2498,07-09-2014 23:26:45,,
MLB 2014/Games 07 September/KC @ NYY,202,3291.06,2427.7642,4209.2634,07-09-2014 20:56:42,,
MLB 2014/Games 07 September/LAA @ MIN,96,1640.54,1949.8308,1696.3084,07-09-2014 21:46:27,,
MLB 2014/Games 07 September/NYM @ CIN,159,4692.66,3591.2272,6568.571199999999,07-09-2014 20:48:14,,
MLB 2014/Games 07 September/PHI @ WSH,248,11533.779999999999,13479.6736,9255.3416,07-09-2014 20:59:37,,
MLB 2014/Games 07 September/PIT @ CHC,154,2570.69,2039.3317000000002,3566.5620000000004,07-09-2014 21:49:21,,
MLB 2014/Games 07 September/SD @ COL,132,2083.3399999999997,1326.6488,2846.9556,07-09-2014 23:19:22,,
MLB 2014/Games 07 September/SEA @ TEX,189,7455.91,7210.6035,8197.1012,07-09-2014 21:53:27,,
MLB 2014/Games 07 September/STL @ MIL,137,1289.72,1883.4778000000001,575.538,07-09-2014 21:15:17,,
MLB 2014/Games 07 September/TOR @ BOS,94,1428.26,1256.1152,1690.0802000000003,07-09-2014 20:24:23,,
MLB 2014/Games 31 August/CLE @ KC,39,465.98,276.90000000000003,347.9436,01-09-2014 04:55:48,,
